name,ingredient1_id,ingredient1_amount,ingredient2_id,ingredient2_amount,ingredient3_id,ingredient3_amount,ingredient4_id,ingredient4_amount,garnish_id,method,ice_in_shake,is_on_the_rocks,glass_type,abv,summary,comments
알렉산더,5,1oz,17,1oz,24,1oz,,,10,shake,TRUE,FALSE,martini,20,"브랜디, 아몬드 리큐르, 우유가 어우러진 달콤하고 부드러운 칵테일","""새하얀 드레스를 입는 것은 시커먼 속내를 감추기 위함이지. 마치 이 술 처럼."""
애비에이션,1,1.5oz,12,1oz,14,2dash,,,1,shake,TRUE,FALSE,martini,28,"상큼한 레몬주스에 체리 리큐르가 어우러진, 보랏빛 칵테일","""구름 위를 나는 기분이 어떤 건지 궁금하다면, 이 술을 마셔보는걸 추천합니다."""
비스 니즈,1,1.5oz,13,0.5oz,18,0.5oz,,,1,shake,TRUE,FALSE,martini,25,"진과 레몬주스, 심플 시럽이 어우러진 산뜻한 칵테일","""최고의 비즈니스 맨을 위한 달콤한 한 잔."""
비트윈 더 시트,5,1oz,2,1oz,9,1oz,13,1oz,,shake,TRUE,FALSE,martini,33,"브랜디와 럼, 상큼한 오렌지향이 어우러진 강한 칵테일","""달콤한 말과 술에는 다 이유가 있는 법."""
블랙 러시안,3,2oz,19,1oz,,,,,,stir,FALSE,TRUE,on_the_rocks,25,보드카와 커피 리큐르가 어우러진 깔끔한 달콤 씁쓸함,"""소련놈들은 아침에 커피 대신에 이걸 한잔 마신다던데,"""
브랜디 크러스타,5,2oz,9,1dash,14,0.5oz,13,0.5oz,7,shake,FALSE,FALSE,coupe,30,다양한 재료가 조화된 브랜디 베이스의 클래식 칵테일,"""19세기 바텐더 예술의 정점. 칵테일도 예술이 될 수 있다네."""
불바디에,4,1oz,20,1oz,23,2dash,,,,stir,FALSE,TRUE,on_the_rocks,30,강렬하고 묵직한 위스키 기반의 칵테일,"""네그로니가 너무 쓰다고? 이거 먼저 마셔보는건 어때?"""
쿠바 리브레,2,2oz,12,0.5oz,18,1oz,25,filling,,stir,FALSE,TRUE,long_drink,12,럼과 라임의 상큼한 조화가 돋보이는 클래식 하이볼,"""Viva, Cuba Libre!"""
다이키리,2,2oz,12,1oz,18,0.5oz,,,,shake,TRUE,FALSE,martini,25,럼 베이스의 새콤달콤하고 시원한 라임 칵테일,"""헤밍웨이가 사랑한 칵테일이라는데, 한 모금이면 이유를 알겠지."""
드라이 마티니,1,1oz,21,1oz,,,,,7,stir,FALSE,FALSE,martini,30,"진과 드라이 베르무트의 깔끔한 조화, 고전적인 드라이 칵테일","""한 잔이면 신사, 두 잔이면 철학자, 세 잔이면 골칫거리."""
프렌치 커넥션,5,1oz,17,1oz,,,,,,stir,FALSE,TRUE,on_the_rocks,35,브랜디와 아몬드 리큐르의 부드럽고 달콤한 조화,"""프랑스의 하드보일드, 너무 깊숙이 알려 하지 말 것."""
행키팽키,1,1.5oz,22,1.5oz,23,1dash,,,,stir,FALSE,FALSE,martini,29,"진과 스위트 베르무트, 허브 리큐르의 씁쓸하고 달콤한 매력","""이 칵테일 정말 쌔끈하구먼! 아, 물론 세련되고 끝내준다는 뜻일세."""
라스트 워드,1,1oz,20,1oz,14,1oz,12,1oz,,shake,TRUE,FALSE,martini,30,"진과 체리, 허브, 라임이 어우러진 새콤하고 씁쓸한 칵테일","""이걸 마시면 마지막 말을 남길 필요도 없다. 이 한 잔이 곧 마지막 말이 될테니."""
맨해튼,4,1oz,22,1oz,23,2dash,,,10,stir,FALSE,FALSE,martini,30,"위스키와 스위트 베르무트, 비터스의 조화로운 스파이시함","""칵테일의 여왕이라던데, 그럼 왕은 누구지?"""
마가리타,6,2oz,9,1oz,12,0.5oz,,,,shake,TRUE,FALSE,margarita,30,데킬라와 시트러스의 상큼한 멕시칸 대표 칵테일,"""신맛과 짠맛이 합쳐지면 의외의 단맛이 난다는 사실, 알고 계셨나요?"""
마르티네스,1,1.5oz,21,1oz,23,1dash,,,,stir,FALSE,FALSE,martini,32,마티니의 시초가 된 고전적인 진 칵테일,"""여왕은 곧 왕의 아버지가 되었나니-."""
메리 픽포드,2,1.5oz,16,1.5oz,13,0.5oz,10,1oz,9,shake,TRUE,FALSE,martini,23,"럼과 파인애플의 달콤한 조화, 체리의 포인트가 살아 있는 클래식한 열대풍 칵테일","""영화계의 영원한 여왕을 위하여, -프레드 카우프만-"""
코스모폴리탄,3,1.5oz,11,0.5oz,9,0.5oz,26,1oz,,shake,TRUE,FALSE,martini,30,크랜베리와 감귤류의 산미가 조화를 이루는 도시적이고 세련된 보드카 베이스 칵테일,"""누가 만들었는지는 몰라도, 크렌베리 주스를 너무나도 예쁜 분홍색을 낼 수 있을 만큼 넣었더군."""
민트 줄렙,4,2oz,18,0.5oz,23,2dash,,,11,shake,TRUE,TRUE,long_drink,20,위스키와 민트의 상쾌함이 어우러진 더운 여름에 어울리는 청량한 칵테일,"""소화제였지만, 너무 맛있어서 결국 칵테일로 탈바꿈 되었다지, 아마?"""
몽키 글랜드,1,1.5oz,11,1.5oz,7,0.5oz,26,0.5oz,,shake,TRUE,FALSE,martini,25,진한 오렌지와 허브 향이 어우러진 독특한 이름의 클래식 칵테일,"""원숭이한테 필요한 건 술이 아니라 바나나겠지만, 인간이라면 이야기가 다르지."""
네그로니,1,1oz,20,1oz,22,1oz,,,1,stir,TRUE,TRUE,on_the_rocks,21,"진, 베르무트, 리큐르의 쌉쌀하고 깊은 맛이 조화를 이루는 대표적인 이탈리안 칵테일","""쓴맛이 인생을 망치는 게 아니라, 되려 풍미를 더하는 법이지."""
올드 패션드,4,1oz,18,1oz,23,2dash,,,,stir,FALSE,TRUE,on_the_rocks,35,"위스키 본연의 맛을 살린 클래식 중의 클래식, 쌉쌀함과 단맛의 밸런스","""너무 올드하다고? 이건 그냥 클래식이야."""
리멤버 더 메인,4,2oz,22,1oz,14,0.5oz,7,2dash,,shake,TRUE,FALSE,martini,30,쌉쌀함과 스파이스가 어우러진 역사적 의미가 담긴 위스키 기반 칵테일,"""메인 함을 기억하라, 스페인에게 지옥을!"""
러스티 네일,4,1.5oz,20,1oz,18,0.5oz,,,1,stir,FALSE,TRUE,on_the_rocks,30,"스카치와 리큐르의 깊고 부드러운 조화, 진한 풍미의 스피릿 칵테일","""문샤인을 담을 곳이 없어서 녹슨 못통에 담갔더니, 딱 이 색깔이었어."""
사제락,5,2oz,7,0.5oz,18,0.5oz,23,2dash,1,stir,FALSE,TRUE,on_the_rocks,30,"브랜디와 압생트, 비터스의 조화가 돋보이는 강한 칵테일","""도수도 높고 향도 쎄지. 마시기 전엔 각오부터 해야 해."""
사이드카,5,2oz,9,1oz,13,1oz,,,7,shake,FALSE,FALSE,martini,30,브랜디에 오렌지 리큐르와 레몬 주스가 더해진 상큼한 클래식,"""개발자의 레시피 북에 단위가 없어서 막 만들다보니 한 잔에 담고도 남아서 이름이 '사이드 카'라더군."""
사우스사이드,1,2oz,13,1oz,18,0.5oz,,,11,shake,FALSE,FALSE,martini,23,민트 향과 시트러스가 어우러진 상쾌한 진 칵테일,"""이런 걸 두고 진짜 교양 있게 취한다고 하지.”"
스팅어,5,2oz,20,1oz,,,,,,stir,FALSE,TRUE,on_the_rocks,30,브랜디와 허브 리큐르가 어우러져 강렬하고 드라이한 풍미를 전하는 클래식 칵테일,"""민트 향으로 입안을 콕콕 쏘아 침을 마르게 하는 맛이 있어."""
톰 콜린스,1,2oz,13,1oz,18,1oz,25,filling,1,shake,TRUE,TRUE,long_drink,10,"진과 시트러스, 소다가 어우러진 청량감 넘치는 클래식 칵테일","""본인 이름을 칵테일 이름으로 만들다니, 맛있으니 망정이지."""
턱시도,1,1oz,21,1oz,14,1dash,23,1dash,1,shake,TRUE,FALSE,martini,33,드라이하고 독특한 풍미가 특징인 고전적인 진 베이스 칵테일,"""이 녀석을 마실 때는 턱시도를 입으라는 규칙이라도 있나?"""
워드 8,4,2oz,11,1oz,13,1oz,26,0.5oz,8,shake,FALSE,FALSE,martini,30,위스키와 과일 주스가 조화를 이루는 상큼한 맛의 칵테일,"""랜싱턴 시를 8개의 구로 나눈 구정 개시를 기념하여 만든 기념주입니다. 뉴 랜싱턴을 위하여!"""
위스키 사워,4,2oz,13,1oz,18,1oz,,,1,shake,TRUE,FALSE,sour,25,위스키의 묵직함과 레몬의 상큼함이 어우러진 대표적인 사워 계열 칵테일,"""위스키가 쓸 땐, 새콤함을 더해 달게 마셔보는건 어떨까라는 궁금증에서 나온 칵테일."""
화이트 레이디,1,1.5oz,9,1oz,13,0.5oz,,,1,shake,TRUE,FALSE,martini,28,상큼한 시트러스와 부드러운 진이 어우러진 클래식 칵테일,"""아침식사와 함께 마시기 좋은 칵테일이지만, 그렇다고 너무 마시진 마라."""
뷰 카레,4,1oz,5,1oz,22,1oz,23,2dash,10,stir,FALSE,TRUE,on_the_rocks,30,"위스키, 브랜디, 베르무트가 어우러진 뉴올리언스 스타일의 풍부한 칵테일","""칵테일이 꼭 술과 술의 조합으로 만들 필요는 없잖아?"""
파우스트,2,2oz,3,1oz,15,0.5oz,,,,shake,FALSE,FALSE,martini,33,럼과 크렌베리 주스의 조합으로 묵직하고 달콤한 향을 지닌 칵테일,"""멈추어라! 너는 참으로 아름답구나!"""
플랜터즈 펀치,2,1.5oz,12,0.5oz,16,1oz,,,9,shake,TRUE,TRUE,long_drink,17,상큼한 라임과 달콤한 럼이 어우러진 트로피컬 스타일 칵테일,"“1 Sour, 2 Sweet, 3 Strong, 4 Weak.”"
레모네이드,8,2oz,13,1oz,18,0.5oz,25,filling,2,shake,FALSE,TRUE,long_drink,15,문샤인 기반의 상큼한 여름 음료,"""금주법 시절, 단속을 피하며 술을 마시기 위해 개발한 칵테일이다."""
리베르탱고,1,2oz,21,1oz,14,0.5oz,26,0.5oz,10,shake,TRUE,FALSE,martini,30,체리 향과 드라이함이 어우러지는 관능적인 칵테일,"""나에게 있어 탱고는 발보다 귀를 위한 것이다, -아스토르 피아졸라-"""
마제스틱,5,1.5oz,19,1oz,22,0.5oz,9,0.5oz,7,shake,TRUE,FALSE,sour,30,"브랜디와 커피의 조화, 깊이 있는 단맛과 쌉쌀함","“커피처럼 부드럽고, 브랜디처럼 진하다.”"
문샤인 펀치,8,1.5oz,11,1.5oz,15,1.5oz,16,1.5oz,,shake,TRUE,TRUE,long_drink,15,문샤인과 과일 주스의 상큼한 펀치 칵테일,"""아무리 싸구려 술이라도, 달콤하게 포장할 수 있는 방법이 바로 이거 아닐까?"""
불멸의 커피,5,2oz,19,1.5oz,18,1oz,23,1dash,,shake,FALSE,TRUE,on_the_rocks,25,"브랜디와 커피의 깊이 있는 조화, 깔끔한 마무리","“주사가 자는 사람이라면, 이 칵테일을 적극 추천함.”"
스윗 리버티,5,2oz,13,0.5oz,18,0.5oz,23,2dash,7,shake,TRUE,FALSE,coupe,25,단맛과 쌉쌀함이 공존하는 리버티 스타일 칵테일,"""How'd you like the taste of Freedom?"""
엘 도라도,2,1oz,6,1oz,11,2oz,16,2oz,9,stir,FALSE,TRUE,long_drink,10,선라이즈 스타일 데킬라 칵테일,"""엘 도라도의 태양은 불타오르는 황금색이지."""
오렌지 밤,3,1.5oz,11,4oz,,,,,9,stir,FALSE,TRUE,on_the_rocks,15,상큼하고 깔끔한 보드카 기반 칵테일,"""리얼 오렌지가 보드카 속으로, 폭탄처럼 터지는 맛."""
칼립소,2,2oz,16,1oz,13,0.5oz,18,0.5oz,8,shake,TRUE,TRUE,long_drink,15,럼과 열대과일의 달콤한 조화,"""이 술이 '바다의 여신'이라는 이름을 갖게 된 것은, 옛날 해적들이 항해의 안전을 기원하며 이 술을 마셨기 때문이다."""
타이푼,2,2oz,15,1oz,11,1oz,13,0.5oz,8,shake,TRUE,TRUE,long_drink,15,폭풍처럼 강렬한 과일풍 럼 칵테일,"""허리케인, 타이푼, 사이클론.. 사실은 다 똑같은 회오리 아니야?"""
포스포러스,1,3oz,3,1oz,22,0.5oz,10,0.5oz,1,shake,TRUE,FALSE,sour,30,푸른 빛처럼 빛나는 시그니처 칵테일,"""진 세번, 보드카 한 번 허브 리큐르 절반… 다음 대사가 떠오른다고? 음, 그건 아마 착각일거야."""
허브 가든,1,2oz,20,1oz,12,1oz,18,0.5oz,11,shake,TRUE,TRUE,long_drink,20,허브의 향긋함이 가득한 정원 같은 칵테일,"""정원을 한 잔에 담았다. 그러면 이건 마시는 정원인가?"""
